Data Name (clickでcopy),Type,c_code,Category [jp],Category [en],cid(data id),Name [jp],Name [en]
soil_temperature_depth25cm,env,31000,土壌温度,Soil Temperature,31025,土壌温度 (深度25cm),Soil Temperature (25cm)
soil_temperature_depth30cm,env,31000,土壌温度,Soil Temperature,31030,土壌温度 (深度30cm),Soil Temperature (30cm)
soil_temperature_depth35cm,env,31000,土壌温度,Soil Temperature,31035,土壌温度 (深度35cm),Soil Temperature (35cm)
soil_temperature_depth40cm,env,31000,土壌温度,Soil Temperature,31040,土壌温度 (深度40cm),Soil Temperature (40cm)
soil_temperature_depth45cm,env,31000,土壌温度,Soil Temperature,31045,土壌温度 (深度45cm),Soil Temperature (45cm)
soil_temperature_depth50cm,env,31000,土壌温度,Soil Temperature,31050,土壌温度 (深度50cm),Soil Temperature (50cm)
soil_temperature_depth55cm,env,31000,土壌温度,Soil Temperature,31055,土壌温度 (深度55cm),Soil Temperature (55cm)
soil_temperature_depth60cm,env,31000,土壌温度,Soil Temperature,31060,土壌温度 (深度60cm),Soil Temperature (60cm)
root_temperature,env,31000,土壌温度,Soil Temperature,31100,根圏土壌温度,Root Temperature
rhizosphere_temperature,env,31000,土壌温度,Soil Temperature,31200,根圏温度,Rhizosphere Temperature
substrate_temperature,env,31000,土壌温度,Soil Temperature,31300,培地温度,Substrate Temperature
,,,,,,,
soil_moisture_content,env,32000,土壌水分,Soil Moisture,32100,土壌水分量,Soil Moisture Content
soil_moisture_content_depth5cm,env,32000,土壌水分,Soil Moisture,32105,土壌水分量 (深度5cm),Soil Moisture Content (5cm)
soil_moisture_content_depth10cm,env,32000,土壌水分,Soil Moisture,32110,土壌水分量 (深度10cm),Soil Moisture Content (10cm)
soil_moisture_content_depth15cm,env,32000,土壌水分,Soil Moisture,32115,土壌水分量 (深度15cm),Soil Moisture Content (15cm)
soil_moisture_content_depth20cm,env,32000,土壌水分,Soil Moisture,32120,土壌水分量 (深度20cm),Soil Moisture Content (20cm)
soil_moisture_content_depth25cm,env,32000,土壌水分,Soil Moisture,32125,土壌水分量 (深度25cm),Soil Moisture Content (25cm)
soil_moisture_content_depth30cm,env,32000,土壌水分,Soil Moisture,32130,土壌水分量 (深度30cm),Soil Moisture Content (30cm)
soil_moisture_content_depth35cm,env,32000,土壌水分,Soil Moisture,32135,土壌水分量 (深度35cm),Soil Moisture Content (35cm)
soil_moisture_content_depth40cm,env,32000,土壌水分,Soil Moisture,32140,土壌水分量 (深度40cm),Soil Moisture Content (40cm)
soil_moisture_content_depth45cm,env,32000,土壌水分,Soil Moisture,32145,土壌水分量 (深度45cm),Soil Moisture Content (45cm)
soil_moisture_content_depth50cm,env,32000,土壌水分,Soil Moisture,32150,土壌水分量 (深度50cm),Soil Moisture Content (50cm)
soil_moisture_content_depth55cm,env,32000,土壌水分,Soil Moisture,32155,土壌水分量 (深度55cm),Soil Moisture Content (55cm)
soil_moisture_content_depth60cm,env,32000,土壌水分,Soil Moisture,32160,土壌水分量 (深度60cm),Soil Moisture Content (60cm)
soil_volumetric_water_content,env,32000,土壌水分,Soil Moisture,32200,土壌体積含水率,Soil Volumetric Water Content
soil_volumetric_water_content_depth5cm,env,32000,土壌水分,Soil Moisture,32205,土壌体積含水率 (深度5cm),Soil Volumetric Water Content (5cm)
